Type	nsfw	name	tags	huggingface	info	token	thumbnail	triggers	description
Ideogram4	Yes	realism-engine2-ideo	porn, realistic	https://huggingface.co/martineux/ideolo/blob/main/Realism_Engine_Ideogram_V2.safetensors	https://civitai.red/models/2688234/realism-engine-ideogram-4?modelVersionId=3047310	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/57a7e2d5-6c1f-4c6d-b085-6064c571abfb/anim=false,width=450,optimized=true/rei4v2_00190_.jpeg		NSFW Unlock lora. Many regard this as the best version over V4.  V5 is also available
Ideogram4	Yes	realism-engine5-ideo	porn, realistic	https://huggingface.co/martineux/ideolo/blob/main/Realism_Engine_Ideogram_V5.safetensors	https://civitai.red/models/2688234/realism-engine-ideogram-4?modelVersionId=3021951	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/9728fec0-dc80-4cf9-9cd1-6152061c58e8/anim=false,width=450,optimized=true/rei4v5_00144_.jpeg		NSFW Unlcock lora.  This is the latest version at the time of upload (June 2026)
Ideogram4	Yes	snofs-ideo	porn, realistic	https://huggingface.co/martineux/ideolo/blob/main/ideogramSnofsV1.safetensors	https://civitai.red/models/1972981/sex-nudes-other-fun-stuff-snofs?modelVersionId=3036415	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/334cc283-570f-446a-9137-7dccac4a1e3c/anim=false,width=450,optimized=true/2026-06-15ideogram_0030.jpeg		Sex positon enhancer. a weight of 1 is recommended
Ideogram4	no	furry-enhancer-ideo	furry, realistic	https://huggingface.co/martineux/ideolo/blob/main/furenhancerideogramV1.safetensors	https://civitai.com/models/2695892/furry-enhancer-ideogram4	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/334e0452-eb23-4f83-929b-0cfe8bf3ecf1/anim=false,width=450,optimized=true/furryenhancerideogram4V1_00021_.jpeg		Enhances fur, usesul for furry animals. example Stunning close-up portrait of a beautiful anthropomorphic white tigress, elegant and regal, piercing emerald-green cat eyes with intense direct gaze, long flowing silky white hair with soft volume cascading around her face and shoulders, large expressive tiger ears with warm pink inner fur, intricate black tribal stripe patterns across her forehead with a glowing central red-and-gold teardrop bindi jewel, delicate gold septum nose ring with two small gold studs on the sides of her nose, subtle black tiger stripes on white fur around eyes and cheeks, soft pink nose with gold accents, wearing heavy ornate gold jewelry, multiple thick stacked gold bangles and bracelets with engraved patterns on both wrists, layered necklaces with large gold medallions and colorful beads, large elaborate dangling gold earrings with crescent and droplet details, one hand gently resting on her neck while the other touches her jawline, soft cinematic lighting, warm rim light on fur, ultra-detailed realistic white fur texture with individual strands, photorealistic yet fantasy style, sharp focus, intricate details, masterpiece, best quality, 8k
Ideogram4	no	lee-ideo	asian, realistic, personas	https://huggingface.co/martineux/ideolo/blob/main/chineselee_ideogram4.safetensors	https://civitai.red/models/2688144/my-first-virtual-character-lora-for-ideogram4	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/2920d240-fda3-4fdb-b1aa-d8eca3df8b60/anim=false,width=450,optimized=true/ZIT-PornMaster_2026-06-10_01-19-15.jpeg		A fictional chinese woman, Lee.  Character model demo
Wan21-lora	Yes	surround-camera-wan21	-video, effects	https://huggingface.co/shruti1995/ponylora-june15/blob/main/7-low.safetensors	https://civitai.red/models/2639629/wan22surround-camera-movement	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/37fc6003-6be9-4d5c-ab00-2d148e6fd411/transcode=true,width=450,optimized=true/%E9%AB%98%E7%BA%A7%E7%8E%AF%E7%BB%95%E8%BF%90%E9%95%9C_video%20(4).webm	The camera moves in a circular motion, rapidly circling the woman while the background constantly changes.	by JayZ2015 -【wan2.2】Surround camera movement
Wan21-lora	Yes	hip-sway-dance-wan21	-video, dances	https://huggingface.co/shruti1995/ponylora-june15/blob/main/8-dance.safetensors	https://civitai.red/models/2526791/hip-sway-dance	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/a54bb32b-ba1f-4713-87c9-d1c96f872498/transcode=true,width=450,optimized=true/vid_03696.webm		by az420 - Hip Sway Dance
Wan21-lora	Yes	hip-swayass-wan21	-video, dances	https://huggingface.co/shruti1995/ponylora-june15/blob/main/9-shake_high.safetensors	https://civitai.red/models/2074265/hip-swayass-shaking-dance-wan-22-i2v	performs an ass shaking dance	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/92317bd8-640e-4c71-8c8c-a493ed60cecb/transcode=true,width=450,optimized=true/170624_UP_00001.webm		by Actual_Ice1092458 - Hip sway/Ass shaking dance
Wan21-lora	Yes	tits-bounce-wan21	-video, boobs	https://huggingface.co/shruti1995/ponylora-june15/blob/main/10-tits_bounce_low.safetensors	https://civitai.red/models/2624390/tits-bounce-outfit-change-t2v-i2v-wan22-video-lora	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/158098d2-42ad-4d8c-b361-de370b65c09b/transcode=true,width=450,optimized=true/rife_013547int_00001b.webm		by wagenta - Tits Bounce Outfit Change T2V
Wan21-lora	Yes	virgin-killer-wan21	-video, clothing	https://huggingface.co/shruti1995/ponylora-june15/blob/main/11-v1rg1n-k1ll3r.safetensors	https://civitai.red/models/2562802/virgin-killer-sweater	none	https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/3ca9a17b-f5aa-462f-9bec-47c3ec8cc03d/transcode=true,width=450,optimized=true/2026-04-21_00007.webm		Adds a sweater with large side cutouts, as made popular by the asian sexy fashion trend
